Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you Facebook user?,From which country do you participate in the survey?,,What is your age?,What is your gender?,What is your education level?,Please select your Facebook usage type:,How often do you use Facebook?,Do you know/aware of the privacy policy rules of Facebook?,Have you configured the privacy setting of your profile?,"Do you know that you can control the visibility of your posts with some privacy settings? (restricting the visibility of your post to only all/some of your friends, friends and friends of friends, or public)?",What is your general preference for the visibility of your posts?,"Suppose that you have commented on a post that was created by your best friend and that this post is only shared by your best friends' friends. You trust that your friend will not make your comment visible to others than the selected group of people. However, after few days your best friend changes the privacy setting of this post to public. As a result of Facebook Privacy Policy (stating that privacy of interactions on a post only depends on the privacy setting of that particular post, controlled tuned only by the post owner), your comment became visible to public, without getting your approval. What is your opinion about this policy?","Suppose that you see a public post in Facebook, and comment on it, by being aware that your comment will be visible to everyone. After a while, suppose that the post owner changed the visibility of that post to friends only, and you're not among his/her list of friends on Facebook. As a result of the Facebook Privacy Policy as described previously, you cannot see the post. You cannot even have access to your own comment or see it in your own action logs. What is your opinion about this policy?",Were you aware of above described privacy related issues?,Do you think that our solution is clearly understood through the mockup?,Do you think that this solution is useful to improve the privacy awareness of Facebook members?,"Do you think that this solution can be implemented in real world? If so, by whom?",Do you think that this problem should be solved by Facebook through policy regulations and service refinements?,"Do you have any other comments, questions, or concerns?"
,,,,,,,,,Response,Response,Other (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
10472940222,223929250,01/17/2019 04:54:08 PM,01/17/2019 04:58:55 PM,94.66.88.62,,,,,Yes,Greece,,25-34,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472935236,223929250,01/17/2019 04:56:17 PM,01/17/2019 04:56:48 PM,79.131.161.93,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly agree,Strongly agree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472932405,223929250,01/17/2019 04:47:17 PM,01/17/2019 04:55:35 PM,79.131.13.198,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",very useful research
10472923673,223929250,01/17/2019 04:18:04 PM,01/17/2019 04:51:46 PM,94.64.206.119,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution","when someone is posting a comment, it would be inconvenient if every time he/she would be asked if he/she want to set a rule about the said comment. i think the rule setting should be only an option for each comment someone writes. i assume that a notification to all users, that this option is available and that ,by default,it is set without any rule,would be enough."
10472916878,223929250,01/17/2019 04:45:05 PM,01/17/2019 04:48:44 PM,5.54.2.187,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,No,Yes,Only my friends,Neutral,Neutral,Yes,Yes,,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472913444,223929250,01/17/2019 04:42:09 PM,01/17/2019 04:47:17 PM,85.75.254.27,,,,,Yes,Greece,,55+,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Public,Strongly disagree,Strongly disagree,No,,,,,
10472897347,223929250,01/17/2019 04:32:41 PM,01/17/2019 04:40:27 PM,94.66.220.170,,,,,Yes,Greece,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472891250,223929250,01/17/2019 04:32:46 PM,01/17/2019 04:38:00 PM,130.43.127.104,,,,,Yes,Greece,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472859142,223929250,01/17/2019 04:11:41 PM,01/17/2019 04:23:10 PM,2.87.130.239,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
